gp_code,gp_name,block_code,block_name,zp_code,zp_name
267231,Kisa Khera,1858,Bhitargaon,148,Kanpur Nagar
75165,Kisalwas,1907,Jakhaura,152,Lalitpur
71331,Kishai Jagdish Pur,1845,Saurikh,146,Kannauj
272133,Kishandaspur,1459,Mehnagar,114,Azamgarh
48553,Kishanpur,1472,Baraut,115,Baghpat
53610,Kishanpur,1554,Ramnagar,121,Bareilly
54133,Kishanpur,1561,Harraiya,122,Basti
55359,Kishanpur,1577,Mohammedpur Deomal,123,Bijnor
57292,Kishanpur,1609,Lakhaothi,125,Bulandshahr
57495,Kishanpur,1612,Sikandrabad,125,Bulandshahr
59572,Kishanpur,1645,Aliganj,129,Etah
77831,Kishanpur,1951,Baldeo,158,Mathura
81424,Kishanpur,2014,Morna,163,Muzaffarnagar
81927,Kishanpur,2023,Bilsanda,164,Pilibhit
84775,Kishanpur,2070,Shahabad,167,Rampur
266050,Kishanpur,1582,Asafpur,124,Budaun
272576,Kishanpur,1928,Ghughli,155,Maharajganj
71380,Kishan Pur,1846,Talgram,146,Kannauj
274192,Kishanpur Armarajat,1705,Shikohabad,134,Firozabad
55535,Kishanpurbhogan,1579,Nehtaur,123,Bijnor
79096,Kishanpur Birana,1975,Mawana Kalan,160,Meerut
81004,Kishanpur Gamri,2006,Thakurdwara,162,Moradabad
82231,Kishanpur Haripur,2027,Puranpur,164,Pilibhit
267932,Kishanpur Jaidpur,1551,Majhgawan,121,Bareilly
55258,Kishanpurkunda,1576,Kotwali,123,Bijnor
52909,Kishanpur Kuniya,1543,Bhadpura,121,Bareilly
264817,Kishanpur Mohammadabad,1705,Shikohabad,134,Firozabad
84885,Kishanpur Molagarh,2071,Suar,167,Rampur
84696,Kishanpur Near Atariya,2069,Saidnagar,167,Rampur
84697,Kishanpur Panchakki,2069,Saidnagar,167,Rampur
56025,Kishanpur Shyampur,1586,Gunnaur,259726,Sambhal
56782,Kishanpur Urf Kishan Khera,1600,Anupshahr,125,Bulandshahr
269415,Kishan Singhpur,1551,Majhgawan,121,Bareilly
267230,Kishanwas,1577,Mohammedpur Deomal,123,Bijnor
71701,Kishaura,1851,Jhinjhak,147,Kanpur Dehat
81998,Kishni,2024,Bisalpur,164,Pilibhit
55964,Kishni Mehra,1585,Dataganj,124,Budaun
63966,Kishohari,1721,Devkali,137,Ghazipur
62445,Kishoi,1693,Hathgaon,133,Fatehpur
60450,Kishonpur Jadonpur,1660,Barhpura,130,Etawah
45928,Kishonpur Kabiraha,1436,Bhiyawan,112,Ambedkar Nagar
50187,Kishor Chetan,1502,Navanagar,117,Ballia
78982,Kishori,1972,Janikhurd,160,Meerut
83655,Kishori Balampur,2050,Deenshah Gaura,166,Rae Bareli
58663,Kishori Chhapar,1630,Bankata,128,Deoria
56573,Kishorpur,1595,Samrer,124,Budaun
71831,Kishorpur,1853,Malasa,147,Kanpur Dehat
78935,Kishorpur,1971,Hastinapur,160,Meerut
59630,Kishor Pur,1646,Amanpur,577,Kasganj
265699,Kishor Pura,1832,Mauranipur,144,Jhansi
269510,Kishorpur Ahatmali,1578,Najibabad,123,Bijnor
74160,Kishun Das Patti,1892,Fazilnagar,151,Kushi Nagar
65571,Kishundaspur,1745,Nawabganj,138,Gonda
91939,Kishundaspur,2180,Shahgarh,584,Amethi
270081,Kishundaspur,2172,Kadipur,176,Sultanpur
297466,Kishundaspur,1743,Mankapur,138,Gonda
52532,Kishundas Pur,1538,Sirauli Gauspur,120,Barabanki
45929,Kishun Daspur,1436,Bhiyawan,112,Ambedkar Nagar
86596,Kishun Deopur,2095,Deegh,170,Sant Ravidas Nagar
83322,Kishungarh,2043,Sangipur,165,Pratapgarh
270640,Kishunipur Jogiyapar,1734,Zamania,137,Ghazipur
59343,Kishunpali,1641,Rampur Karkhana,128,Deoria
47288,Kishunpur,1454,Jahanaganj,114,Azamgarh
52308,Kishunpur,1535,Ramnagar,120,Barabanki
54348,Kishunpur,1564,Paras Rampur,122,Basti
62329,Kishunpur,1691,Dhata,133,Fatehpur
71595,Kishunpur,1849,Amrodha,147,Kanpur Dehat
75400,Kishunpur,1911,Bakshi-Ka-Talab,153,Lucknow
76748,Kishunpur,1933,Nichlaul,155,Maharajganj
79392,Kishunpur,1982,Chhanvey,161,Mirzapur
86148,Kishunpur,2089,Pauli,169,Sant Kabeer Nagar
89453,Kishunpur,2139,Laharpur,174,Sitapur
89581,Kishunpur,2141,Mahmudabad,174,Sitapur
265927,Kishunpur,1848,Akbarpur,147,Kanpur Dehat
269848,Kishunpur,1723,Jakhania,137,Ghazipur
73144,Kishun Pur,1877,Behjam,150,Kheri
68816,Kishunpura,1799,Konch,142,Jalaun
73911,Kishunpur Ajit,1888,Pasgawan,150,Kheri
72908,Kishunpur Ambari,1873,Nevada,149,Kaushambi
71166,Kishunpur Basant,1842,Haseran,146,Kannauj
274226,Kishunpur Chandrabhari,2114,Gilaula,172,Shravasti
62330,Kishunpur Chirai,1691,Dhata,133,Fatehpur
87739,Kishunpur Chorwabhari,2115,Hariharpur Rani,172,Shravasti
50904,Kishunpur Grint,1513,Rehera Bazaar,118,Balrampur
73912,Kishunpur Jamuni,1888,Pasgawan,150,Kheri
62264,Kishunpur Kapili,1690,Devmai,133,Fatehpur
271893,Kishunpur Kashinath,1461,Mohammadpur,114,Azamgarh
48831,Kishunpur Mafi,1478,Chitaura,116,Bahraich
49481,Kishunpur Mitha,1488,Shivpur,116,Bahraich
269438,Kishunpur Sagar,1513,Rehera Bazaar,118,Balrampur
